word,cluster
abnormals,4
acceptances,1
accounting,4
accretive,1
acquirer,1
acquirers,2
acquisition,1
acquisitions,1
actuaries,0
adjusted,4
adjustment,3
adjustments,3
advancers,7
adverting,2
advertisers,2
advertising,2
affluents,2
affreightment,8
aftermarket,2
aftershocks,9
aftertax,1
agribusiness,2
agribusinesses,2
airfares,6
airlines,2
airplay,4
allocations,4
allocators,5
amalgamations,3
amort,4
amortise,5
amortising,5
amortization,1
analyst,9
analysts,9
annualize,4
annualized,4
annuities,0
anticompetitive,6
antidumping,8
antimonopoly,6
antitrust,6
approvals,1
arbitrage,5
arbitragers,5
arbitrages,5
arbs,5
assemblers,2
asset,5
assets,5
assumptions,4
assurer,0
assurers,4
attendances,4
attrition,3
auction,6
auctions,6
auto,2
automaker,8
automotive,2
autos,2
backlog,9
backlogs,9
bailout,0
balances,4
bank,0
banker,0
bankers,0
banking,0
bankrupcy,6
bankrupt,6
bankruptcy,1
bankruptcies,3
banks,0
bargainers,2
bearish,9
bearishly,5
bednights,4
beermaker,8
benchmark,5
benchmarks,4
bettors,5
bidders,6
biennia,4
biennium,4
billings,4
billion,4
billions,4
billon,4
biotech,2
bloc,8
bloodstock,0
blowoff,9
bn,4
bolivar,7
bolivars,7
bond,5
bondholder,1
bondholders,1
bonds,5
bonuses,4
bookings,2
bookselling,2
borrow,4
borrowers,0
borrowing,0
bottler,8
bottlers,8
bourse,7
bourses,7
boxboard,8
bps,7
brands,2
broker,0
brokerage,0
brokerages,0
brokers,0
broking,0
budget,4
budgeters,4
budgets,4
buy,6
buyback,1
buybacks,1
buyer,2
buyers,2
buying,6
buyout,1
buyouts,3
bullion,5
bullions,5
business,2
businesses,2
cabler,2
cahoot,0
callable,5
cancellations,3
cannibalization,9
cap,4
capital,5
capitalization,5
capitalizations,5
carbon,8
cardholders,0
carloadings,9
carmaker,8
carmakers,8
carryover,4
carryovers,4
cash,4
cent,4
centavos,7
centimos,7
cents,7
cfd,8
cheaper,6
cheapest,6
choppiness,9
cyclical,9
closeout,2
closings,3
clunkers,8
cocos,5
coffers,4
commodity,5
commodities,5
company,2
companies,2
comparability,1
comparatives,9
competitiveness,6
competitors,2
completions,4
comps,9
conglomerate,2
conglomerates,2
conservatively,4
consignors,2
consolidated,4
consolidation,3
consolidations,3
consolidator,6
consolidators,2
consortiums,6
consumer,2
consumers,2
consumption,8
consumptions,8
containerboard,8
contestability,6
contracts,6
convertibility,5
corporate,2
corporations,2
correction,9
costlier,6
costs,4
counterbid,1
countertrend,9
coverages,0
credit,0
crisis,9
crossovers,2
crude,8
crunches,9
currency,7
currencies,7
curtailment,3
curtailments,3
cutback,3
cutbacks,3
cuts,3
deactivations,3
dealer,2
dealers,2
deals,6
debit,0
debt,0
debts,0
decarbonisation,9
decarbonization,9
decelerate,9
decelerating,9
deceleration,9
decile,4
deciles,4
decimalization,5
decine,9
decline,9
decliners,7
declines,9
declining,9
decoupled,9
decoupling,9
decrease,9
decreased,9
decreases,9
deductibles,4
defaulting,0
defaults,0
deferrable,5
deferrals,3
deficit,4
deficits,4
deflator,9
delinquencies,0
delist,1
delisting,1
delocalisation,4
demand,9
demerge,1
denominate,5
denominated,5
denominating,5
depletable,4
depositors,0
deposits,0
depreciate,5
depreciated,5
depreciating,5
depreciation,4
depreciations,3
depressionary,9
derated,5
deregulate,6
deregulated,6
deregulating,6
deregulation,6
deregulations,6
derivatives,5
deterioration,9
deteriorations,9
devaluate,6
devaluating,6
devaluation,3
devaluations,3
differentials,9
dilution,1
dilutive,1
dinar,7
directionally,9
disbursals,0
disconnections,3
discontinuation,3
discount,6
discounter,2
discounters,2
discounting,6
discounts,6
discretionary,4
disposals,1
disproportionally,4
disproportionately,4
disruptions,3
dissaving,4
distortive,4
distressed,5
distributional,4
distributors,2
diversification,5
diversifications,5
diversified,5
diversifier,5
diversifying,5
divested,1
divesting,1
divestiture,1
divestitures,1
divestment,1
divesture,1
dividend,1
dividends,4
divident,4
dollar,7
dollars,4
domestically,2
downgrade,9
downgrades,9
downshift,9
downside,9
downsizing,3
downswing,9
downswings,9
downtrend,9
downturn,9
downturns,9
downward,9
downwards,9
drawdown,3
drawdowns,3
drugmaker,8
drugstores,2
duopoly,6
duopolies,6
durables,2
earner,4
earners,4
earnings,1
economy,9
economic,9
economics,6
economies,2
economising,6
economist,9
economists,9
efficiencies,4
eliminations,3
embargo,8
embargoes,8
endowments,4
enplanement,4
enterprises,2
equalization,4
equites,5
equity,5
equities,5
erosion,9
escalation,9
escalations,3
estimate,4
estimates,4
euro,7
eurodollar,5
eurodollars,5
euros,7
excluding,4
executives,2
expansionary,9
expansions,3
expectations,9
expenditures,4
expensing,1
expiration,9
expirations,3
expiries,5
expiring,5
export,8
exported,8
exporter,8
exporters,8
exporting,8
exports,8
factoring,4
fallers,7
fares,6
favorability,4
ferrochrome,8
fils,7
finance,0
finances,4
financial,0
financiers,0
financing,1
firming,9
firms,2
fiscal,4
fiscally,4
fivefold,4
fixed,5
flattish,9
flotations,5
flows,9
fluctuate,9
fluctuating,9
fluctuation,9
fluctuations,9
forecast,9
forecasted,9
forecaster,9
forecasting,9
forecasts,9
foreclosures,0
forecourts,8
forestries,2
forex,5
forint,7
forints,7
franc,7
franchised,2
franchisees,2
franchiser,2
franchisers,2
franchises,2
franchising,2
francs,7
freeholds,5
freesheet,8
fund,4
fundamentals,9
funds,4
fungibility,5
futures,5
gainers,7
gains,9
gasolene,8
generics,2
geographies,2
gigawatts,8
global,2
gluts,9
goldminer,5
goods,2
greenback,7
grossers,4
grosses,4
growth,9
grubstake,4
halving,4
headwinds,9
hedge,5
hedged,5
hedger,5
hedgers,5
hedging,5
hiatuses,3
higher,9
hike,3
hikes,3
holdbacks,3
holdings,5
