word,cluster
aa,6
abandoners,1
abandonments,0
abas,7
abate,8
abatement,0
abatements,0
abbr,6
abbreviated,6
abduction,5
abductions,5
abductor,5
abductors,5
abeyance,2
abetment,2
abetter,6
abetters,6
abide,8
abiders,6
abigail,6
ability,6
abilities,6
able,8
abn,6
abnegating,6
abnormals,3
abolish,8
abolished,8
abolishing,8
abolishment,8
aborad,6
abord,6
abortions,5
abortus,6
about,6
abouts,6
above,6
aboveboard,8
abovementioned,2
abrazos,6
abreast,8
abridged,6
abridgments,6
abroad,1
abscond,5
absconder,5
absconders,5
absconding,2
absences,9
absentee,5
absenteeism,9
absentees,9
absentia,5
absinthium,6
absolutely,8
absorbability,6
abstain,8
abstained,4
abstaining,8
abstentions,4
abstr,6
abstracting,7
abstractor,4
abstractors,7
abuse,5
abusers,5
abut,6
abutter,0
abutters,0
abutting,0
acad,6
academy,9
academic,9
academical,6
academically,9
academics,9
academies,9
acce,6
accedence,6
acceder,6
accelerate,8
accelerated,8
accelerating,8
acceleration,3
accelerator,7
accept,8
acceptable,8
acceptance,8
acceptances,3
accepted,8
accepter,6
accepting,8
acception,6
access,7
accessability,6
accessable,7
accessary,4
accessed,7
accesses,7
accessibility,8
accessible,7
accessing,7
accession,2
accessioned,6
accessioning,6
accessor,7
accessorial,6
accident,5
accidental,6
accidentals,6
accidential,6
accidents,0
acclimation,9
acclimatization,2
accommodate,8
accommodated,8
accommodation,2
accommodations,1
accommodator,6
accommodators,1
accomodate,8
accompanier,6
accompanying,6
accomplices,5
accomplish,8
accomplishable,8
accomplishment,8
accomplishments,9
accord,8
accordance,4
accordant,6
according,6
accordingly,8
accords,8
account,6
accountability,8
accountable,8
accountably,8
accountancy,9
accountant,9
accountants,1
accounting,3
accounts,1
accredit,9
accreditation,9
accreditations,9
accredited,9
accrediting,9
accretes,6
accretionary,6
accretive,3
accruable,2
accrual,3
accruals,3
accrue,4
accrued,4
accruement,6
accruing,4
accts,7
accueil,6
accumulate,6
accumulated,6
accumulative,6
accumulatively,2
accuracy,7
accurate,7
accurately,7
accurateness,7
accus,5
accuser,5
accustoming,6
accustoms,6
acerbated,6
achievability,8
achievable,8
achieve,8
achieved,8
achievement,8
achievements,8
achievers,9
achieving,8
acidifiers,6
acidulated,6
aciduria,6
acknow,6
acknowledgments,7
acoustician,9
acquirable,7
acquire,8
acquired,6
acquirement,6
acquirements,6
acquirer,3
acquirers,3
acquiring,8
acquisition,3
acquisitional,6
acquisitions,3
acquisitor,6
acquital,5
acquittal,5
acquittals,5
acronyms,7
across,6
acrostics,6
acting,8
action,8
actionability,7
actionable,7
actions,8
activate,8
activated,7
activating,8
activations,7
active,8
actively,8
activists,5
activity,6
activities,8
acton,6
actual,6
actually,6
actuals,7
actuary,9
actuarial,3
actuarially,3
actuaries,3
actus,6
acuities,6
acupuncturists,9
acute,6
ad,1
adai,6
adays,6
adalat,2
adaptability,6
adaptable,8
adaptations,6
adaption,6
adaptions,6
adaptiveness,6
adaptivity,6
add,8
added,8
addenda,4
addendum,4
addendums,4
addictives,6
adding,8
addition,6
additional,8
additionally,6
additions,6
additur,4
address,8
addressability,7
addressable,7
addressed,8
addressee,4
addressees,4
addresses,7
addressing,8
adducted,6
aden,6
adenin,6
adequacy,3
adequacies,8
adequate,8
adequately,8
adhere,8
adhered,8
adherences,6
adhering,8
adhesively,6
adirondack,6
adjacency,7
adjacencies,7
adjacent,0
adjacently,6
adjoin,0
adjoined,0
adjoining,0
adjourn,4
adjourning,2
adjournment,5
adjournments,2
adjudging,4
adjudicate,4
adjudicated,4
adjudicating,4
adjudication,4
adjudications,4
adjudicative,4
adjudicator,4
adjudicatory,4
adjudicators,9
adjunct,9
adjuncts,9
adjusted,3
adjuster,4
adjusters,1
adjustment,3
adjustments,3
adjustor,4
adjustors,1
adjutant,5
admeasuring,2
administer,8
administered,8
administering,8
administrable,8
administrate,8
administrated,8
administrates,8
administrating,8
administration,8
administrational,2
administrations,8
administrative,9
administratively,4
administrator,9
administrators,9
administratrix,4
adminstration,8
admiral,5
admirals,5
admiralty,4
admissability,4
admissable,4
admissibility,4
admissible,4
admission,9
admissions,9
admittance,9
admittances,6
admix,6
admixing,6
adnexal,6
adopt,8
adoptability,8
adoptable,9
adopted,8
adoptee,9
adoptees,9
adopter,1
adopters,1
adopting,8
adoption,8
adoptions,5
adoptive,5
ads,1
adult,9
adulterates,6
adulteration,2
adulterators,2
adults,9
advance,8
advanceable,6
advanced,6
advancement,8
advancements,8
advancers,3
advances,6
advantaged,8
advantageous,8
advantages,8
advent,6
adverse,4
adversely,4
advertent,6
adverting,1
advertise,1
advertised,1
advertisement,1
advertisements,1
advertiser,1
advertisers,1
advertising,1
advertize,1
advertized,6
advertizing,1
adverts,1
advice,1
advices,2
advisability,8
advisable,8
advise,8
advised,8
advisee,9
advisees,9
advisement,9
advisements,4
adviser,8
advisers,1
advising,8
advisor,8
advisory,8
advisories,0
advisors,8
advocacy,8
advocate,8
advocated,8
advocates,8
advt,1
aerobes,6
aerobiology,6
aerodynamical,6
aerodrome,0
aerodromes,0
aeroelastic,6
aeromedical,9
aeronautic,0
aeronautical,0
aeronautics,0
aeronauts,6
aerospace,0
affairs,8
affect,8
affected,8
affecting,8
affectional,6
affiant,4
affiants,4
affidavit,4
affidavits,4
affiliate,1
affiliated,8
affiliates,1
affiliating,8
affiliation,9
affiliations,1
affirmance,4
affirmative,4
affirmatively,4
affirmatives,6
affirmed,8
affixation,6
affluent,1
affluently,6
affluents,1
afflux,6
affordable,1
affording,8
afforested,6
affray,5
affreightment,3
aforementioned,6
aforesaid,2
afresh,2
aftercare,9
afterhours,1
afterimages,6
aftermarket,1
afterschool,9
aftershocks,5
aftertax,3
ag,9
agami,6
age,9
aged,9
agency,8
agencies,1
agenda,8
agent,1
agents,1
ages,9
agglomerating,6
aggravation,6
aggregate,3
aggregated,7
aggregately,6
aggregates,7
aggregating,7
aggregation,7
aggregative,6
aggregator,7
aggressively,8
aggrieve,6
agilities,6
agist,6
agisted,6
agnostically,6
agonal,6
agorot,2
agree,8
agreed,8
agreeing,8
agreement,8
agreements,8
agrement,8
agribusiness,3
agribusinesses,1
agricultures,6
agrodolce,6
agrologist,9
agronomical,6
agronomics,6
agues,6
aguinaldo,6
ayahs,2
aid,8
aide,5
aider,9
aiders,9
aides,5
ailments,6
aim,8
aimed,8
air,0
airborne,6
airbursts,6
airbus,0
airbuses,0
airchecks,6
aircraft,0
aircraftman,6
aircrafts,0
aircraftsman,6
aircrew,0
aircrews,0
airdate,1
airdates,1
airdrome,0
airdrop,0
airdropping,0
airdrops,0
airfare,1
airfares,1
airfield,0
airfreight,0
airings,1
airlift,0
airlifting,0
airlifts,0
airline,1
airliner,0
airliners,0
airlines,1
airmail,0
airman,5
airmanship,9
airmen,5
airmobile,6
airpark,0
airparks,0
airplay,1
airplays,6
airport,0
airports,0
airsheds,0
airspace,0
airtime,1
airtimes,1
airwave,1
airwomen,9
airworthy,0
airworthiness,0
aisled,6
ayurveda,2
ajoint,6
aked,6
akey,6
akim,2
akinetic,6
alai,6
alaihi,6
alameda,6
alarge,6
alarm,6
alarms,7
albitite,6
alchemize,6
alcohol,5
alderman,5
aldermanic,9
aldermen,0
alderwoman,5
alehouses,1
aleikum,6
alem,6
alert,5
alerting,7
alertness,6
alerts,7
algebra,9
algebraically,6
algorithmic,7
algorithmically,7
aliased,7
aliases,5
alienage,4
align,8
alignment,8
alignments,8
aliya,9
aliyah,9
aliment,6
alimentation,6
alimony,4
alkylates,6
all,6
allegation,5
allegations,5
allege,4
alleged,5
allegedly,5
alleges,4
alleging,4
alleviate,8
alleviating,8
alleviation,8
alleviations,6
alliance,8
allied,8
allocable,4
allocate,8
allocated,8
allocating,8
allocation,2
allocations,3
