word,cluster
abir,2
alembic,6
aluminous,3
antechambers,8
antimacassars,7
aqua,7
areolas,6
argyles,7
armillary,8
armlet,1
armlets,1
auxetic,3
aventurine,3
backings,3
balata,3
balboa,6
balconette,7
baptismal,8
barrenwort,6
barres,8
basters,6
bathmats,7
batiste,7
bedcover,8
bedstand,6
bedsteads,3
bejewel,6
berber,3
bezoar,6
bibbed,2
bicolored,2
biers,8
bifold,8
binnacles,8
birchwood,3
birdseye,6
black,2
blazon,8
bloomy,6
blowguns,6
blowpipes,4
bluey,2
bodiced,7
bodkin,1
boles,4
bonze,1
bough,2
bouquet,2
bowfront,8
bows,2
bracers,6
brickmaker,3
bridals,7
brilliants,3
brimless,7
briolette,7
broadtail,7
brogans,7
broomcorn,4
browny,2
bubinga,3
bulbed,2
bulla,8
busby,1
cabriole,6
cachepot,8
cadjan,4
caduceus,1
calabashes,4
calendered,3
callas,4
camerlengo,1
candled,6
candlewick,6
carapaces,6
carborundum,3
carnauba,6
cartonnage,1
censers,8
ceremonial,0
ceremonially,0
ceremoniously,0
chaffs,6
chairless,8
challis,6
chaplet,8
charka,8
charpoys,8
chasubles,1
cheroots,6
chestful,1
chinked,6
chisled,6
chorten,8
chromes,6
chromo,3
chromotherapy,8
ciborium,1
circumambulate,8
circumambulation,8
citrines,3
civies,7
clads,3
clerestories,8
cloudscape,8
coathangers,6
cockade,1
cocoanut,6
cocobolo,3
comber,6
conches,4
concho,6
convertable,8
coonskin,6
copal,4
copperware,3
copula,8
cording,7
cordovan,7
corers,4
cornhusk,4
corolla,2
coronas,6
corseting,7
cossack,7
cottagey,8
cowhides,3
cowrie,6
cowries,4
cradleboard,1
crania,6
crape,2
creaseless,7
crispers,6
crowns,1
cuds,6
curtaining,8
danglers,2
davenport,6
deerskins,6
deerstalkers,6
demilune,8
dentifrice,3
diabolos,6
diadem,1
diadems,1
diamond,1
dyeable,7
dinettes,6
discardable,6
dishwash,6
dobby,7
dogtooth,7
doli,8
dolman,7
dolmen,8
domelike,8
doubloon,1
dovecotes,8
dows,8
dressiest,7
dryable,7
duckbill,6
durries,7
eggbeaters,6
eggcup,6
eiderdown,7
eyeshade,7
elaborateness,8
electroplate,3
emblazed,1
embossment,8
encrusts,6
enrobing,6
epaulet,1
epaulette,7
epees,6
escutcheons,3
excelsior,4
extrudable,3
fasces,1
fastness,3
fauvist,8
feather,2
felts,3
festoon,2
festoons,2
fibered,3
fingerboards,3
firepot,6
flacons,3
flagstaffs,1
flatirons,6
flensing,6
flitches,4
floorcloth,3
florally,8
florin,1
flowerets,6
foil,6
foliages,4
footless,7
footwarmers,7
footwears,7
fountaining,8
frangipanis,2
frillies,7
frits,3
frontals,8
furbelows,7
furbished,8
furls,6
garuda,1
gauzily,6
gilders,3
gladioluses,4
gladius,6
goatskins,6
goldish,2
gorget,1
greaseproof,6
greaves,6
green,2
greenheart,4
grindstones,4
guidons,1
gulper,6
gunstock,3
haberdasheries,7
halberd,1
halberds,1
handfasting,8
handleless,6
hanks,7
harakeke,4
hassock,8
hatmakers,7
headstall,7
heathered,7
heathery,8
herringbones,7
hexagonally,8
hided,6
highboys,3
hightop,7
hymens,8
hinoki,6
hobnail,3
hogsheads,6
hooka,6
horsehead,6
huppah,8
yantra,8
inaccessibly,8
incased,6
incrusted,1
infusers,3
inkpot,8
inkstand,1
interlined,8
iolite,3
iroko,4
ironsmith,8
ironware,3
jabot,7
jabots,7
jacketless,7
jackknives,6
jalousie,8
jambiya,1
jamdani,7
jardinieres,3
jerkins,7
jeroboams,8
jewellike,8
jonquil,2
kangri,4
kepi,1
kero,6
khanga,7
kidskin,7
kilograms,6
kingsize,8
kiswa,8
kitenge,7
knap,6
knapped,6
knapping,6
kneehole,8
labradorite,3
labret,6
laceless,7
lampblack,6
lampstand,8
lapelled,7
lauan,4
lauhala,4
launderings,7
lavalava,7
laver,4
leaflike,6
leatherware,7
letterings,8
lightener,6
lighteners,6
lyra,8
lithographers,3
lobate,6
loden,7
logwood,4
lotas,6
lr,1
luces,6
lunettes,8
maillots,7
maypoles,8
mancala,6
manilla,6
mantapa,8
mantillas,7
manufactories,3
marcasite,3
marguerites,2
masque,8
mastics,3
masu,4
matchy,7
matelasse,7
mechitzah,8
medusa,6
meerschaum,6
meltable,6
menhir,8
mercerized,7
mercurochrome,6
meshy,6
metalised,3
