day,Guesses,Solves,Avg. guesses,
1,"469,951","4,076",102.7,
2,"312,215","2,688",101.9,
3,"138,872","2,293",57.3,
4,"127,554","2,127",59,
5,"269,574","1,769",134.3,
6,"176,502","1,451",115,
7,"154,329","1,268",108.5,
8,"93,002","1,188",73.3,
9,"99,838","1,090",86.6,
10,"107,509","1,219",81.6,
11,"85,776","1,114",74.4,
12,"117,428",984,111.5,
13,"111,310",949,108.1,
14,"70,650","1,010",69.9,
15,"75,464","1,013",72.1,
16,"119,401",817,128.6,
17,"128,000",806,139.3,
18,"130,220",855,139.2,
19,"74,401",903,77.3,
20,"104,978","1,067",94.9,
21,"113,065",948,106.6,
22,"84,043","1,017",79.7,
23,"126,211","1,108",102.5,
24,"138,171",974,124.1,
25,"160,324","1,095",123.7,
26,"256,207",990,200.1,
27,"265,901","1,636",129.4,
28,"339,507","3,271",88.7,
29,"333,945","3,896",75.7,
30,"450,373","3,972",95.9,
31,"434,574","3,282",106.4,
32,"312,347","2,713",95.6,
33,"217,350","3,404",57,
34,"323,281","3,685",74.1,
35,"438,987","3,541",100.7,
36,"337,113","4,173",69.9,
37,"347,942","4,246",71.2,
38,"284,149","3,933",64.5,
39,"243,174","3,034",73,
40,"398,953","2,926",116.9,
41,"325,225","3,469",79,
42,"393,083","3,814",86.1,
43,"324,979","3,822",74.7,
44,"359,669","3,704",77.4,
45,"460,960","2,978",120.7,
46,"244,492","2,610",79.4,
47,"332,832","2,695",102.4,
48,"506,426","3,132",128.1,
49,"279,444","4,230",56.2,
50,"399,126","4,027",81.9,
51,"325,838","3,868",73.9,
52,"334,917","2,947",90.2,
53,"174,711","3,766",43.3,
54,"321,627","3,242",84.2,
55,"335,431","4,122",71.9,
56,"393,449","4,144",78.8,
57,"377,401","4,327",77.5,
58,"354,610","4,697",68.8,
59,"551,041","3,545",128.3,
60,"257,965","3,494",68.2,
61,"327,401","3,609",82.6,
62,"474,599","4,276",93.8,
63,"343,008","4,409",65.7,
64,"233,805","5,205",41.1,
65,"502,661","3,638",110.3,
66,"248,723","4,215",51.8,
67,"193,587","3,454",51.3,
68,"306,434","3,712",72.4,
69,"662,877","4,119",128.4,
70,"201,044","4,621",40.4,
71,"383,678","3,644",86.6,
72,"280,392","3,724",65.9,
73,"447,488","2,566",135.6,
74,"266,005","2,154",104.4,
75,"254,995","2,188",89,
76,"283,501","3,235",75.5,
77,"250,685","3,247",69,
78,"215,694","3,387",57.5,
79,"399,083","2,700",122.5,
80,"283,203","3,006",81.4,
81,"187,970","1,788",87,
82,"260,667","1,633",120.2,
83,"237,968","2,552",81.1,
84,"196,134","2,431",71.5,
85,"231,772","2,329",85.5,
86,"283,022","1,957",108.1,
87,"193,352","2,156",73.2,
88,"228,762","1,335",140.1,
89,"169,831","1,817",85.8,
90,"192,393","2,213",75.6,
91,"227,892","1,988",97.8,
92,"162,389","1,925",71.6,
93,"214,730","1,799",98.8,
94,"121,218","1,788",58.6,
95,"150,612","1,391",95,
96,"118,603","1,332",79.4,
97,"151,858","1,405",92.2,
98,"222,615","1,417",121.1,
99,"228,066","1,663",108.7,
100,"178,043","2,214",70.3,
101,"177,909","2,142",69.9,
102,"136,932","1,352",86.9,
103,"144,304","1,402",87.4,
104,"202,469","1,678",105.4,
105,"128,923","1,675",69.5,
106,"108,798","1,586",60.8,
107,"98,794","1,566",58.6,
108,"130,107","1,247",88.8,
109,"141,867",987,122.5,
110,"185,623",779,169.8,
111,"83,768","1,536",50.5,
112,"160,637","1,048",121.5,
113,"122,883","1,400",78.5,
114,"100,877","1,302",69.7,
115,"115,534","1,341",79.6,
116,"109,387",915,100.9,
117,"109,515",969,102,
118,"136,744","1,087",105.7,
119,"103,565","1,202",73.2,
120,"83,331","1,337",56.4,
121,"101,316","1,178",75.3,
