cluster,count
26,2169
9,1245
44,4187
1,1654
22,2657
56,1294
15,1340
27,1349
14,1367
21,1238
16,2456
53,1855
33,1110
58,1304
7,2723
36,474
2,1655
46,1381
24,1699
8,1817
43,8151
25,2184
40,1612
51,4663
55,2959
59,3970
17,1807
10,590
54,2271
13,1365
31,1783
48,1494
19,1872
11,1681
6,1890
41,2294
23,773
42,1090
47,1149
50,1898
34,2146
3,1791
18,1153
38,1570
30,1344
39,1360
49,1477
35,1271
45,898
0,1382
37,793
32,1884
52,1249
57,681
5,1833
28,1140
29,789
4,1521
12,903
20,1326
