cluster,count
44,6834
19,3460
4,1914
35,1075
27,1457
54,2485
16,1662
18,1660
13,1345
41,4379
17,562
46,2058
21,2430
45,4338
49,2056
36,1257
8,716
23,2095
14,1541
37,1696
38,1235
33,1353
53,1320
3,1237
12,1683
58,1252
50,1555
15,2039
6,3625
51,964
22,740
2,1300
52,2378
56,945
20,1574
42,1093
43,595
39,1138
25,2654
0,1464
26,1045
31,1095
9,1283
5,1555
30,1583
48,1559
34,952
57,755
11,1021
55,1877
59,554
32,1272
28,924
7,1556
40,1123
24,558
47,741
1,1184
10,845
29,772
