cluster,count
3,7318
59,1806
48,1613
10,1193
50,2012
9,1029
2,1453
24,2367
5,1576
43,1613
58,1393
4,579
31,2023
68,1935
32,4236
65,2021
41,1220
0,669
30,2065
37,1508
14,2233
25,1681
12,919
36,1306
27,1194
6,1119
11,1496
63,871
55,671
61,1352
45,3203
51,3405
22,849
60,1634
52,1519
19,1006
13,2548
47,617
53,1331
42,984
15,823
33,363
26,714
38,1427
23,1169
62,970
66,859
40,836
57,1258
54,1275
8,1891
28,1377
46,1405
69,656
20,1112
56,765
29,640
21,866
49,918
39,544
1,1469
67,1153
18,763
35,1523
34,459
16,528
17,499
7,707
44,497
64,385
