word,cluster
aaa,0
aah,0
aahed,0
aahing,0
aahs,0
aal,0
aam,0
aardvark,0
aardvarks,0
aargh,0
aaron,0
aas,0
ab,0
aba,0
abaca,9
aback,0
abacus,0
abacuses,0
abaft,0
abalone,7
abalones,0
abandon,0
abandoned,0
abandoners,0
abandoning,0
abandonment,0
abandonments,5
abandons,0
abas,0
abase,0
abased,0
abasement,0
abashed,0
abashedly,0
abasing,0
abate,0
abated,0
abatement,0
abatements,0
abates,0
abating,0
abattoir,0
abattoirs,0
abba,0
abbas,0
abbe,0
abbey,0
abbeys,0
abbess,0
abby,0
abbot,0
abbots,0
abbott,0
abbr,0
abbreviate,0
abbreviated,0
abbreviates,0
abbreviating,0
abbreviation,3
abbreviations,3
abc,0
abcess,0
abd,0
abdicate,0
abdicated,0
abdicates,0
abdicating,0
abdication,0
abdomen,4
abdomens,4
abdominal,4
abdominally,0
abdominals,8
abduct,1
abducted,1
abducting,1
abduction,1
abductions,1
abductor,1
abductors,1
abducts,1
abe,0
abeam,0
abed,0
abeyance,0
abel,0
abelia,0
aberdeen,0
aberrant,0
aberrantly,0
aberration,0
aberrational,0
aberrations,0
aberrometer,0
abet,0
abetment,6
abets,0
abetted,0
abetter,0
abetters,0
abetting,0
abettor,2
abettors,0
abhinaya,0
abhor,0
abhorred,0
abhorrence,0
abhorrent,0
