cluster,count
4,18902
6,6247
5,12295
2,15177
7,6530
3,10697
1,12560
0,2468
9,8923
8,3619
4,18928
6,6241
5,12278
2,15170
7,6531
3,10686
1,12567
0,2468
9,8918
8,3631
4,18902
6,6247
5,12295
2,15177
7,6530
3,10697
1,12560
0,2468
9,8923
8,3619
4,18928
6,6241
5,12276
2,15172
7,6531
3,10686
1,12567
0,2468
9,8918
8,3631
4,18922
6,6245
5,12284
2,15180
7,6533
3,10689
1,12552
0,2468
9,8921
8,3624
4,18928
6,6241
5,12278
2,15170
7,6531
3,10686
1,12567
0,2468
9,8918
8,3631
4,18928
6,6241
5,12276
2,15172
7,6531
3,10686
1,12567
0,2468
9,8918
8,3631
4,18902
6,6247
5,12295
2,15177
7,6530
3,10697
1,12560
0,2468
9,8923
8,3619
4,18928
6,6241
5,12278
2,15170
7,6531
3,10686
1,12567
0,2468
9,8918
8,3631
