cluster,count
99,497
294,474
270,261
27,270
397,163
262,129
269,1486
384,452
13,289
60,712
318,1926
75,388
117,291
93,159
213,297
123,299
346,344
238,691
10,204
361,263
138,291
304,209
103,611
350,229
197,149
143,244
369,283
56,818
308,1418
21,265
330,1327
296,264
390,198
189,109
349,112
194,207
283,185
360,296
1,933
299,265
288,233
136,1028
345,213
86,238
97,135
54,222
199,98
65,284
279,205
85,155
220,156
313,111
50,325
316,644
207,275
4,434
364,107
286,213
250,236
135,472
374,379
356,97
378,535
82,358
204,180
280,270
357,170
334,1856
55,215
113,278
320,877
33,282
155,392
177,282
158,390
70,573
48,124
314,304
231,212
161,457
217,46
301,121
183,404
163,345
25,54
287,590
128,347
324,214
365,267
89,289
101,115
62,170
104,138
94,243
145,138
323,174
15,127
221,151
298,307
29,246
162,290
118,518
274,225
88,965
165,76
42,556
205,218
156,132
9,344
255,478
230,230
58,154
107,123
341,257
212,280
83,390
366,131
310,207
256,134
306,139
300,183
173,199
187,196
252,249
36,520
122,356
342,462
61,721
376,98
91,355
261,345
131,449
393,990
258,338
37,210
171,194
108,200
19,590
307,145
127,379
259,70
344,132
134,254
335,267
28,224
43,296
116,361
312,247
328,328
129,162
190,177
281,90
272,237
225,168
210,196
34,185
181,205
214,243
176,294
382,272
196,150
188,998
30,433
340,150
22,312
114,184
381,183
232,176
130,274
247,291
311,85
39,179
126,428
249,233
6,278
8,205
59,187
254,249
148,144
100,375
16,200
373,163
233,138
149,185
87,185
278,137
396,212
41,378
195,225
355,283
154,167
47,182
167,224
0,254
302,306
11,963
146,287
20,6
367,105
38,194
359,259
90,219
172,214
276,219
185,194
31,67
358,131
267,214
291,28
319,324
52,86
76,112
53,432
385,196
339,100
337,95
371,128
325,145
78,159
142,196
229,88
182,360
46,158
64,246
329,179
388,121
222,226
112,290
380,152
273,131
219,140
235,140
208,325
152,117
125,73
391,195
111,146
362,216
115,79
12,314
226,363
186,111
184,208
354,580
139,204
170,475
242,135
348,274
2,88
72,158
140,346
109,149
71,173
35,205
14,198
223,200
180,268
333,471
347,316
331,165
105,240
241,250
322,104
395,134
169,204
282,216
290,137
67,122
18,132
32,189
3,230
224,278
17,319
133,228
263,459
40,169
351,255
68,227
168,200
211,140
240,139
244,277
271,323
151,152
277,204
137,121
102,185
257,119
44,159
92,125
293,96
215,255
216,20
166,160
305,118
200,158
80,195
179,118
285,215
372,251
377,299
317,180
206,130
26,403
251,76
245,166
399,269
246,243
289,98
386,268
81,242
228,335
141,172
193,179
202,259
239,89
297,226
121,56
147,161
394,106
370,124
110,208
368,66
164,132
74,223
389,269
387,233
303,314
203,20
24,500
343,147
178,114
175,134
153,261
98,8
292,118
398,99
326,165
66,213
120,322
84,178
191,193
79,111
192,220
63,376
327,153
248,85
160,77
284,141
236,96
268,78
5,75
227,173
264,51
237,65
338,32
243,125
295,185
57,175
144,100
198,82
383,184
7,40
218,40
45,226
124,95
332,66
315,135
201,125
23,178
95,301
266,14
363,127
106,108
234,140
96,51
265,82
157,46
132,11
309,52
69,70
159,69
253,141
352,83
73,17
275,6
392,95
260,76
353,19
49,51
77,65
119,28
150,58
375,32
51,1
174,5
321,2
209,3
336,2
379,1
