word,cluster
aa,3
aaa,4
aah,4
aahed,2
aahing,5
aahs,1
aal,4
aam,4
aardvark,0
aardvarks,0
aargh,5
aaron,4
aas,4
ab,4
aba,4
abaca,0
aback,9
abacus,2
abacuses,2
abaft,4
abalone,0
abalones,0
abandon,9
abandoned,9
abandoners,3
abandoning,9
abandonment,7
abandonments,3
abandons,9
abas,6
abase,7
abased,7
abasement,7
abashed,5
abashedly,5
abasing,9
abate,9
abated,9
abatement,3
abatements,3
abates,9
abating,9
abattoir,0
abattoirs,0
abba,4
abbas,4
abbe,4
abbey,2
abbeys,7
abbess,7
abby,4
abbot,7
abbots,7
abbott,4
abbr,3
abbreviate,4
abbreviated,3
abbreviates,4
abbreviating,5
abbreviation,4
abbreviations,4
abc,4
abcess,8
abd,4
abdicate,9
abdicated,9
abdicates,9
abdicating,9
abdication,7
abdomen,8
abdomens,8
abdominal,8
abdominally,5
abdominals,8
abduct,9
abducted,9
abducting,9
abduction,1
abductions,7
abductor,1
abductors,1
abducts,9
abe,4
abeam,1
abed,4
abeyance,3
abel,4
abelia,0
aberdeen,4
aberrant,7
aberrantly,8
aberration,7
aberrational,3
aberrations,7
aberrometer,3
abet,9
abetment,7
abets,9
abetted,9
abetter,3
abetters,3
abetting,9
abettor,7
abettors,7
abhinaya,7
abhor,7
abhorred,7
abhorrence,7
abhorrent,7
abhorrently,7
abhorring,7
abhors,9
aby,4
abidance,7
abide,9
abided,9
abiders,3
abides,9
abiding,7
abidingly,5
abigail,3
ability,3
abilities,3
abiogenesis,7
abiotic,6
abir,2
abysmal,9
abysmally,5
abyss,7
abyssal,6
abysses,7
abit,4
abject,7
abjection,7
abjectly,5
abjectness,7
abjure,7
abjured,7
abjures,7
abjuring,7
abl,4
ablate,8
ablated,8
ablates,6
ablating,8
ablation,8
ablations,8
ablative,6
ablator,6
ablaze,9
able,3
abled,3
abler,7
ables,4
ablest,7
ably,5
abloom,2
ablution,2
ablutions,2
abn,3
abnegating,3
abnegation,7
abnormal,8
abnormality,8
abnormalities,8
abnormally,8
abnormals,3
abo,4
aboard,1
abode,7
abodes,2
abogado,4
abolish,9
abolished,3
abolishes,9
abolishing,3
abolishment,3
abolition,7
abolitionism,7
abolitionist,7
abolitionists,7
abominable,7
abominably,5
abominate,7
abomination,7
abominations,7
aborad,3
abord,1
aboriginal,7
aboriginals,7
aborigine,7
aborigines,7
aborning,7
abort,9
aborted,9
abortifacient,8
aborting,9
abortion,7
abortionist,7
abortionists,7
abortions,7
abortive,9
aborts,9
abortus,3
abound,9
abounded,9
abounding,5
abounds,9
about,3
abouts,1
above,3
aboveboard,3
aboveground,6
abovementioned,3
abr,4
abracadabra,5
abrade,6
abraded,6
abrades,9
abrading,6
abraham,4
abrasion,6
abrasions,8
abrasive,5
abrasively,5
abrasiveness,5
abrasives,6
abrazo,7
abrazos,3
abreast,9
abridge,7
abridged,3
abridgement,7
abridgements,7
abridges,7
abridging,7
abridgment,7
abridgments,3
abroad,3
abrogate,7
abrogated,9
abrogates,9
abrogating,9
abrogation,7
abrupt,9
abruption,8
abruptly,9
abruptness,5
abs,1
abscess,8
abscessed,8
abscesses,8
abscission,0
abscond,9
absconded,9
absconder,3
absconders,3
absconding,3
absconds,9
abseil,1
abseiled,1
abseiling,1
abseils,1
absence,3
absences,3
absent,9
absented,9
absentee,3
absenteeism,3
absentees,3
absentia,9
absenting,7
absently,5
absentminded,5
absentmindedly,5
absentmindedness,7
absents,9
absinth,2
absinthe,2
absinthes,2
absinthium,3
absolute,7
absolutely,3
absoluteness,7
absolutes,7
absolution,7
absolutions,7
absolutism,7
absolutist,7
absolutists,7
absolve,9
absolved,9
absolves,9
absolving,9
absorb,9
absorbability,3
absorbable,8
absorbance,6
absorbant,6
absorbed,9
absorbency,6
absorbent,6
absorbents,6
absorber,6
absorbers,6
absorbing,9
absorbingly,5
absorbs,6
absorbtion,6
absorption,6
absorptions,6
absorptive,6
abstain,9
abstained,9
abstainer,7
abstainers,8
abstaining,9
abstains,9
abstemious,5
abstemiousness,7
abstention,7
abstentionism,7
abstentionist,3
abstentions,3
abstinence,7
abstinent,8
abstr,3
abstract,7
abstracted,7
abstracting,3
abstraction,7
abstractionism,7
abstractionist,7
abstractionists,7
abstractions,7
abstractly,7
abstractness,7
abstractor,3
abstractors,3
abstracts,3
abstruse,5
absurd,7
absurdism,5
absurdist,5
absurdity,7
absurdities,7
absurdly,5
absurdness,5
absurdum,3
abt,4
abu,4
abundance,0
abundances,6
abundant,0
abundantly,7
abusable,8
abuse,3
abused,9
abuser,7
abusers,7
abuses,7
abusing,9
abusive,7
abusively,7
abusiveness,7
abut,3
abutilon,2
abutment,6
abutments,6
abuts,9
abutted,1
abutter,3
abutters,3
abutting,3
abuzz,9
abv,2
ac,4
acacia,0
acacias,0
acad,3
academe,7
academy,3
academia,7
academic,3
academical,3
academically,3
academician,7
academicians,7
academicism,7
academics,3
academies,3
acanthite,6
acanthus,2
acappella,2
acaricide,0
acc,4
acca,4
acce,3
accede,9
acceded,9
accedence,3
acceder,3
accedes,9
acceding,9
accel,6
accelerando,5
accelerant,1
accelerate,3
accelerated,3
