game,closest_word_score
1,69.64
2,77.17
3,54.04
4,51.99
5,77.27
6,72.21
7,63.25
8,74.01
9,80.77
10,59.99
11,82.08
12,88.11
13,81.81
14,58.13
15,62.21
16,47.26
17,77.31
18,67.25
19,69.82
20,74.1
21,77.59
22,74.5
23,72.71
24,69.46
25,73.47
26,66.18
27,60.09
28,74.7
29,82.28
30,73.92
31,65.77
32,73.89
33,63.95
34,55.95
35,76.78
36,74.66
37,55.83
38,65.29
39,61.86
40,68.32
41,70.62
42,71.87
43,72.64
44,62.87
45,47.58
46,67.97
47,71.67
48,71.74
49,63.91
50,63.23
51,85.44
52,59.96
53,69.41
54,81.99
55,77.18
56,64.21
57,68.51
58,77.92
59,74.86
60,75.15
61,86.44
62,62.88
63,75.02
64,62.18
65,67.44
66,78.68
67,56.43
68,67.45
69,70.08
70,81.82
71,65.37
72,70.74
73,72.04
74,75.6
75,69.29
76,71.46
77,89.77
78,74.54
79,86.54
80,87.06
81,53.99
82,83.52
83,72.43
84,71.84
85,73.18
86,72.13
87,74.5
88,65.64
89,58.71
90,90.38
91,68.15
92,61.22
93,81.58
94,69.8
95,70.88
96,86.24
97,56.59
98,76.36
99,62.63
100,76.04
101,69.96
102,82.06
103,63.76
104,81.05
105,64.44
106,71.61
107,58.55
108,53.96
109,63.54
110,63.97
111,50.53
112,52.91
113,63.56
114,62.24
115,61.98
116,78.74
117,68.53
118,60.45
119,75.42
120,76.88
121,68.33
122,61.34
123,77.47
124,75.81
125,57.68
126,58.23
127,71.96
128,80.19
129,80.28
130,70.98
131,41.72
132,77.99
133,78.07
134,66.32
135,81.58
136,69.08
137,67.39
138,73.69
139,73.68
140,69.92
141,48.15
142,63.1
143,73.67
144,76.26
145,77.58
146,85.99
147,66.99
148,81.19
149,58.66
150,76.82
151,71.17
152,71.96
153,74.78
154,65.45
155,75.83
156,76.55
157,71.95
158,71.13
159,66.98
160,61.15
161,82.36
162,77.89
163,72.67
164,84.36
165,65.49
166,81.37
167,86.53
168,71.93
169,79.51
170,72.55
171,92.44
172,74.4
173,77.01
174,80.22
175,44.4
176,74.8
177,60.03
178,82.88
179,67.95
180,70.62
181,73.05
182,58.02
183,71.86
184,72.69
185,68.93
186,78.27
187,89.02
188,76.9
189,82.62
190,67.31
191,66.52
192,78.33
193,54.05
194,74.89
195,52.04
196,80.23
197,64.19
198,67.45
199,49.99
200,60.27
201,65.58
202,73.45
203,69.15
204,60.44
205,63.14
206,79.95
207,68.91
208,79.02
209,66.37
210,61.31
211,64.65
212,70.57
213,87.72
214,64.04
215,35.29
216,72.45
217,67.61
218,60.87
219,80.08
220,67.2
221,50.49
222,48.25
223,78.64
224,81.61
225,79.5
226,72.43
227,70.5
228,75.1
229,73.57
230,49.33
231,70.58
232,58.14
233,58.1
234,71.07
235,76.23
236,79.48
237,52.45
238,86.07
239,65.62
240,67.95
241,84.7
242,83.13
243,79.27
244,82.19
245,78.06
246,48.08
247,66.77
248,61.52
249,72.11
250,68.24
251,65.21
252,61.93
253,48.58
254,79.05
255,76.81
257,79.9
258,67.86
259,82.75
260,69.08
261,75.69
262,73.92
264,74.57
265,65.15
266,65.74
267,66.33
268,72.45
269,81.69
270,55.56
271,44.86
272,70.27
273,72.21
274,64.42
275,74.88
276,72.04
277,70.77
278,74.99
279,76.4
280,66.13
281,76.31
282,66.08
283,76.74
284,68.05
285,83.37
286,80.17
287,76.56
288,58.26
289,49.55
290,56.91
291,55.19
292,59.81
293,57.3
294,72.4
295,79.87
296,66.9
297,62.34
298,61.23
299,68.17
300,70.17
301,74.05
302,71.74
303,65.09
304,76.95
305,68.69
306,49.45
307,78.8
308,57.03
309,75.29
310,76.32
311,67.28
312,69.89
313,71.05
314,74.78
315,91.03
316,59.09
317,82.59
318,69.41
319,79.56
320,77.51
321,60.27
322,67.25
323,76.18
324,81.01
325,62.96
326,69.28
327,71.4
328,80.96
329,72.97
330,67.53
331,51.95
332,73.4
333,66.67
334,64.69
335,70.97
336,68.44
337,70.33
338,78.18
339,80.75
340,73.26
341,59.18
342,82.55
343,54.05
344,82.6
345,54.73
346,70.06
347,76.74
348,59.92
349,71.61
350,61.03
351,79.09
352,79.8
353,54.04
354,73.95
355,69.54
356,67.67
357,83.58
358,59.84
359,58.83
360,60.36
361,71.3
362,67.75
363,76.8
364,76.66
365,80.48
366,70.5
367,68.73
368,75.85
369,83.96
370,69.24
371,42.72
372,79.23
373,68.57
374,64.62
375,68.5
376,72.05
377,62.55
378,64.47
379,65.05
380,72.16
381,77.07
382,84.27
383,86.02
384,84.76
385,72.86
386,75.71
387,74.14
388,73.62
389,58.71
390,58.48
391,78.32
392,71.83
393,36.31
394,62.92
395,54.51
396,83.42
397,71.08
398,58.56
399,71.88
400,72.79
401,76.28
402,65.92
403,83.62
404,81.89
405,80.4
406,74.57
407,47.42
408,66.01
409,60.7
410,59.14
411,54.63
412,76.51
413,50.61
414,69.7
415,57.84
416,78.88
417,75.1
418,76.45
419,72.01
420,70.66
421,73.39
422,67.69
423,62.05
424,71.85
425,66.04
426,63.27
427,86.74
428,84.97
429,60.78
430,57.79
431,79.37
432,71.14
433,61.32
434,74.88
435,96.53
436,53.78
437,69.91
438,68.4
439,76.37
440,77.31
441,66.98
442,71.91
443,72.2
444,75.69
445,77.26
446,75.63
447,78.66
448,74.77
449,79.05
450,66.04
451,77.87
452,72.88
453,68.67
454,85.64
455,74.98
456,79.23
457,67.83
458,74.51
459,59.16
460,55.09
461,60.13
462,63.03
463,71.11
464,71.96
465,76.88
466,59.53
467,64.46
468,60.61
469,74.95
470,76.11
471,70.74
472,61.4
473,66.83
474,59.89
475,65.7
476,65.55
477,46.46
478,77.19
479,67.33
480,55.58
481,70.56
482,70.66
483,70.84
484,70.73
485,64.96
486,72.56
487,61.02
488,51.08
489,65.22
490,75.13
491,87.28
492,80.66
493,76.79
494,83.89
495,55.99
496,71.08
497,76.06
498,68.6
499,64.05
500,64.75
501,71.11
502,70.12
503,67.47
504,53.61
505,73.64
506,59.28
507,69.74
508,74.9
509,72.37
510,71.88
511,79.38
512,83.13
513,72.8
514,60.41
515,76.81
516,76.51
517,77.95
518,75.72
519,60.43
520,71.29
521,70.72
522,67.02
523,64.45
524,75.06
525,66.57
526,82.72
527,64.37
528,76.23
529,93.33
530,85.85
531,66.45
532,84.91
533,89.63
534,62.88
535,65.49
536,57.78
537,69.48
538,77.12
539,45.28
540,78.4
541,60.97
542,75.07
543,65.99
544,60.57
545,80.39
546,73.95
547,78.55
548,80.12
549,66.33
550,76.01
551,54.98
552,68.21
553,57.8
554,65.83
555,56.7
556,64.34
557,75.35
558,86.32
559,66.62
560,75.19
561,81.11
562,71.93
563,53.36
564,62.62
565,67.62
566,85.58
567,76.8
568,62.73
569,73.21
570,83.2
571,59.94
572,84.53
573,57.19
574,59.85
575,88.46
576,59.15
577,86.85
578,75.26
579,68.82
580,63.48
581,75.91
582,57.59
583,82.57
584,75.74
585,67.18
586,78.37
587,75.05
588,71.88
589,60.85
590,62.17
591,66.12
592,79.35
593,74.61
594,66.22
595,76.64
596,65.26
597,87.02
598,47.74
599,63.7
600,67.23
601,75.41
602,85.03
603,75.65
604,62.24
605,52.1
606,75.32
607,40.38
608,83.41
609,73.88
610,74.74
611,81.86
612,72.02
613,67.73
614,73.3
615,64.13
616,58.86
617,70.47
618,66.19
619,72.95
620,66.21
621,78.97
622,78.21
623,65.43
624,75.69
625,63.4
626,68.41
627,75.24
628,73.75
629,80.57
630,59.65
631,55.55
632,73.81
633,67.07
634,75.22
635,56.46
636,67.05
637,76.94
638,58.11
639,69.53
640,51.28
641,65.45
642,54.71
643,58.77
644,58.36
645,76.19
646,61.67
647,76.77
648,71.03
649,65.28
650,70.67
651,71.24
652,72.52
653,70.42
654,70.42
655,66.1
656,66.1
657,66.3
658,70.66
659,72.47
660,76.58
661,74.11
662,60.45
663,75.52
664,64.68
665,61.75
666,71.48
667,79.72
668,74.96
669,76.19
670,67.58
671,76.98
672,64.06
673,75.31
674,79.59
675,84.76
676,81.24
677,61.4
678,64.56
679,60.22
680,77.13
681,74.08
682,64.1
683,61.14
684,61.6
685,68.7
686,77.02
687,58.62
688,81.37
689,81.18
690,66.72
691,65.29
692,78.45
693,51.49
694,55.34
695,67.07
696,80.03
697,71.56
698,75.87
699,60.02
700,67.64
701,75.9
702,54.04
703,58.65
704,66.53
705,71.89
706,64.64
707,70.91
708,86.23
709,64.63
710,82.59
711,72.19
712,86.8
713,66.05
714,54.4
715,78.09
716,55.89
717,78.59
718,84.6
719,74.76
720,72.87
721,74.64
722,73.82
723,75.74
724,70.54
725,70.37
726,71.03
727,73.82
728,63.41
729,67.76
730,75.21
731,77.5
732,70.19
733,61.38
734,66.02
735,59.58
736,78.74
737,71.7
738,62.61
739,76.96
740,74.15
741,60.69
742,70.57
743,57.77
744,81.28
745,60.36
746,82.17
747,52.24
748,55.6
749,73.38
750,63.53
751,63.28
752,77.37
753,70.45
754,81.39
755,75.17
756,68.83
757,75.16
758,76.83
759,66.8
760,81.49
761,72.53
762,64.17
763,63.9
764,77.86
765,74.53
766,68.27
767,75.31
768,83.75
769,70.65
770,57.52
771,55.96
772,73.7
773,62.58
774,57.96
775,69.15
776,64.06
777,74.8
778,63.97
779,72.2
780,82.34
781,76.99
782,72.43
783,70.05
784,54.19
785,58.2
786,65.9
787,68.76
788,80.28
789,62.69
790,63.6
791,75.29
792,60.43
793,81.66
794,84.18
795,62.02
796,84.31
797,74.36
798,70.87
799,71.27
800,53.51
801,75.6
802,79.78
803,74.97
804,78.01
805,65.77
806,62.93
807,76.49
808,77.3
809,65.49
810,68.24
811,62.58
812,78.89
813,63.7
814,62.25
815,50.23
816,86.05
817,74.75
818,73.86
819,72.93
820,77.93
821,73.23
822,74.94
823,64.2
824,77.53
825,68.25
826,70.01
827,79.15
828,81.35
829,60.94
830,59.49
831,63.83
832,75.38
833,78.92
834,74.25
835,65.92
836,55.12
837,72.23
838,77.76
839,71.87
840,72.93
841,57.85
842,75.61
843,67.85
844,63.41
845,67.51
846,83.77
847,74.18
848,83.78
849,52.76
850,65.08
851,71.87
852,76.12
853,75.8
854,72.76
855,74.53
856,76.74
857,81.66
858,72.46
859,86.35
860,83.09
861,63.06
862,49.03
863,77.31
864,59.82
865,67.71
866,61.77
867,65.45
868,72.98
869,78.05
870,85.19
871,76.71
872,75.93
873,57.31
874,59.74
875,85.43
876,78.16
877,78.92
878,63.7
879,46.84
880,59.69
881,73.81
882,64.64
883,85.02
885,76.41
886,69.87
887,76.19
888,54.22
889,75.74
890,82.35
891,37.2
892,78.93
893,75.82
894,77.15
895,68.61
896,74.96
897,59.85
898,74.5
899,80.53
900,63.58
901,50.21
902,73.44
903,67.89
904,74.04
905,80.26
906,69.81
907,56.1
908,46.93
909,72.91
910,69.98
911,70.17
912,74.3
913,81.79
914,74.86
915,69.82
916,80.84
917,66.68
918,61.02
919,76.63
920,75.93
921,69.3
922,66.84
923,46.84
924,80.48
925,66.34
926,60.45
927,73.24
